,,,,,,,,,,,,,,,,Flow Rate N2,Measured,,,,Set,,,Mass Measured,,,Mass Set,,,Consumed,,,Glycerol Data,Average Glycerol Consumption Rate,CO2 Production Max,CO2 Production 50%,OD,Corrected CO2 Consumed,Volume,Mass/Volumetric Consumption Rate,,,Molar/Volumetric Consumption Rate,,,Gram Gas/Gram Biomass Consumption Rate,,,Consumption Ratios,,,,,,Cumulative Consumption (g),,,,,,,,,Densities (kg/m3 or g/L),H2,CO2,O2,N2,,Molar Weights,H2,CO2,O2,N2
,2023-10-25 18:48:38,5.016666666666667,1.786125,49.383919999999996,27.439345000000003,1.0132275000000002,2.0698375,1.021565,6.3174150000000004,46.90344749999999,0.48540938988216814,0.049755675,0.020088687224768132,0.4447462478930637,1.5,3.372709735284074,1.637144974853891,0.16781144945813042,0.06775331097205228,1.5,1.5999999999999999,0.16748154545454544,0.06699806363636364,0.13343550117546638,0.30026502651543274,0.08776763903319654,0.13397119999999998,0.3079818139363636,0.08916772289363636,0.0319081467026483,0.4747129690437313,0.11879813738906009,0,,,,0,,2.24,0.01424470834939656,0.21192543260880858,0.053034882762973246,7.065827554264167,4.815392697314442,1.657391879839159,0,0,0,-2.9054038190302647,,,,0,0.0,0.0005318024450441365,0.007911882817395494,0.001979968956484328,6.852670000000001,2.492835454545454,4.917361176076568,0.0002979986369543387,52.65761488758318,,,,,,,,,,,,
,2023-10-25 18:49:38,5.033333333333333,1.7783275,49.111162500000006,27.436007500000002,1.0132174999999999,2.073555,1.02159,6.314235,46.91192,0.4854908284986461,0.049723875,0.02012486222747603,0.4446604342738779,1.5,3.3733606239319935,1.6377356441374533,0.16773656199431647,0.06788841780022395,1.5,1.5999881818181818,0.16749427272727274,0.0669981181818182,0.13348364367542312,0.30013103037643046,0.0879426564184101,0.13397021044,0.3080052181181818,0.08916779548818184,0.044815730940330756,0.5434775480933263,0.12336433306860572,0,,,,0,,2.24,0.020007022741219085,0.24262390539880635,0.055073362977056124,9.924118423223753,5.512926730261449,1.7210963772947945,0,0,0,-3.2031481810022884,,,,0,0.0,0.00074692884900551,0.009057959134888738,0.002056072217810088,6.852877272727272,2.4798718181818185,4.917310059415241,0.0002979987934904602,53.9867086888027,,,,,,,,,,,,
,2023-10-25 18:50:38,5.05,1.77539,48.983365000000006,27.436007500000002,1.0132575,2.075215,1.021615,6.3241700000000005,46.902975,0.4854105882946962,0.04982322500000001,0.02014113092550487,0.44462505577979894,1.5,3.3736290397967963,1.6375952568958339,0.16808507871632977,0.06794870418463256,1.5,1.600020909090909,0.16749627272727274,0.06699854545454546,0.13347220141329494,0.3007546313471288,0.08802075140077302,0.13397295076,0.30800889591818187,0.08916836414545455,0.03515679609544353,0.448312341864866,0.10002078541429621,0,,,,0,,2.24,0.01569499825689443,0.20013943833252945,0.04465213634566795,7.785217389332556,4.547590055272199,1.395422867766741,0,0,0,-3.2589333028132472,,,,0,0.0,0.0005859466015907235,0.007471872364414407,0.0016670130902382643,6.852699090909092,2.4655799999999997,4.91735400171504,0.0002980045041053813,43.16635055941294,,,,,,,,,,,,
,2023-10-25 18:51:38,5.066666666666666,1.781225,49.153892500000005,27.44602,1.0132050000000001,2.069525,1.0215800000000002,6.325355,46.85744,0.4823465810624214,0.049835075000000006,0.02008445415928358,0.447733889778295,1.5,3.350204293766454,1.6159595869588932,0.1669576822451733,0.06728702456238737,1.5,1.5999899999999998,0.16751663636363637,0.06699643636363636,0.13170878613508458,0.29873738084128854,0.08716361161811662,0.13397036267999998,0.3080463426090909,0.08916555715636364,0.02336742862506458,0.48410309128644413,0.1319601580287333,0,,,,0,,2.24,0.010431887779046686,0.21611745146716255,0.05891078483425593,5.174547509447761,4.910644205116168,1.8410195579316833,0,0,0,-2.6673503733078716,,,,0,0.0,0.0003894571437510749,0.00806838485477404,0.002199335967145547,6.8528899999999995,2.4570318181818185,4.917306920723261,0.00029800244846122037,56.48377952581273,,,,,,,,,,,,
,2023-10-25 18:52:38,5.083333333333333,1.7906925,49.3549225,27.443350000000002,1.013375,2.0613650000000003,1.0215999999999998,6.3179825,46.919245,0.4855685962287884,0.04976135000000001,0.02000339754014543,0.44466665623106616,1.5,3.373313422494493,1.6379750632003809,0.16786062987644637,0.06747772941766592,1.5,1.6000099999999997,0.1675230909090909,0.06699885454545454,0.13350315752614703,0.3003530250379255,0.08741065068764443,0.13397203732,0.30805821187272725,0.08916877551454544,0.041522351020842896,0.48118063036321046,0.10011362271938301,0,,,,0,,2.24,0.018536763848590578,0.21481278141214752,0.04469358157115313,9.194823337594531,4.8809993504237115,1.396718071538271,0,0,0,-3.4946203173615693,,,,0,0.0,0.0006920391836807124,0.008019677172720147,0.0016685603786563777,6.8529445454545455,2.446129090909091,4.917293469252229,0.00029800713863784034,42.408971711446846,,,,,,,,,,,,
,2023-10-25 18:53:38,5.1,1.78788,49.3495825,27.458035,1.0133575,2.0606549999999997,1.02169,6.337045,46.946884999999995,0.48586298665586114,0.049951974999999996,0.019995567213400123,0.4441894711307387,1.5,3.376937315019121,1.6407288496248147,0.16868468833640224,0.06752377705790377,1.5,1.5999872727272726,0.16751845454545455,0.06699730909090908,0.1337276048886705,0.3018275128403245,0.08747030080080856,0.13397013432,0.30804968606363636,0.08916671866909089,0.0344203514044189,0.4410185251033827,0.09609654907514337,0,,,,0,,2.24,0.015366228305544152,0.1968832701354387,0.04290024512283186,7.622137056321504,4.473603047840006,1.340674556168376,0,0,0,-3.336829976564547,,,,0,0.0,0.0005736725234069797,0.007350308751723019,0.0016016091512523838,6.852818181818182,2.42587,4.9173246319900805,0.0002980024425541969,39.93952791825186,,,,,,,,,,,,
,2023-10-25 18:54:38,5.116666666666666,1.78899,49.32631,27.46204,1.01342,2.05403,1.02172,6.32377,46.8851,0.48523320270264986,0.049819224999999995,0.0199283475570877,0.44501922474026245,1.5,3.370640899559973,1.6355468788540264,0.1679227173693807,0.06717130333656587,1.5,1.599990909090909,0.16752227272727274,0.0669960090909091,0.1333052483609974,0.30046411818903285,0.08701370634218744,0.1339704388,0.30805670731818185,0.08916498849909091,0.01804878248778896,0.38422432632172265,0.08315861760864685,0,,,,0,,2.24,0.008057492182048643,0.17152871710791187,0.03712438286100305,3.996771915698732,3.8974941401479635,1.1601732198194648,0,0,0,-3.3594070898778847,,,,0,0.0,0.00030081304146314827,0.006403738772028688,0.001385976960144109,6.852961818181819,2.41921,4.917289209642055,0.000298003442317916,34.349302696178775,,,,,,,,,,,,
,2023-10-25 18:55:38,5.133333333333334,1.783555,49.15198,27.443350000000002,1.0134175,2.0619050000000003,1.02175,6.320012500000001,46.920202499999995,0.48558004774385927,0.04978165000000001,0.0200073702698645,0.4446309319862761,1.5,3.3735844541879483,1.6381453003325253,0.1679426005438255,0.06749655331159701,1.5,1.6000081818181817,0.16750618181818183,0.06699876363636365,0.13351703270360246,0.30049969515306696,0.08743503515984277,0.13397188508,0.30802711774545455,0.08916865452363637,0.019061402673758443,0.4189837851799505,0.08573940648497952,0,,,,0,,2.24,0.008509554765070733,0.18704633266962073,0.038276520752222994,4.2210093080708,4.2500870863353954,1.1961786540899089,0,0,0,-3.553053778215929,,,,0,0.0,0.0003176900445626565,0.006983063086332855,0.001428990108083063,6.852673636363637,2.413887272727273,4.917360279279711,0.0002980040817532045,35.241756947583966,,,,,,,,,,,,
,2023-10-25 18:56:38,5.15,1.777675,49.029525,27.45403,1.013465,2.061785,1.02173,6.3099,46.885510000000004,0.4852236332227921,0.049680525,0.02000489179397859,0.4450909499832293,1.5,3.3700977295910395,1.635251064668047,0.1674282245073909,0.06741844041560167,1.5,1.5999745454545453,0.16749136363636363,0.0669986909090909,0.13328113802576916,0.2995793221110745,0.08733384771437042,0.13396906864,0.30799986859090905,0.08916855773090908,0.038511371341907186,0.5028320576253642,0.11602709305388176,0,,,,0,,2.24,0.01719257649192285,0.22447859715418042,0.05179780939905435,8.528063736072843,5.100627065534661,1.618732129099483,0,0,0,-3.1510013138320736,,,,0,0.0,0.0006418561890317843,0.00838053429375604,0.0019337848842313557,6.8524600000000015,2.403808181818182,4.917412966902343,0.0002979961988304093,47.25250502687386,,,,,,,,,,,,
,2023-10-25 18:57:38,5.166666666666667,1.777025,48.989855000000006,27.453364999999998,1.0134675,2.0593150000000002,1.0217399999999999,6.3381925,46.918215000000004,0.4855774963274404,0.049963450000000006,0.01997960601790467,0.44447944765465486,1.5,3.374734215304929,1.6386949910383166,0.16861336422967707,0.06742586003693515,1.5,1.5999999999999999,0.16747772727272725,0.0670006909090909,0.133561835244578,0.30169989261616115,0.08734345909184581,0.13397119999999998,0.30797479268181815,0.08917121953090908,0.01837464144975931,0.3707494663015021,0.10410764922298504,0,,,,0,,2.24,0.008202964932928263,0.16551315459888483,0.046476629117404036,4.06893101831759,3.7608078754575063,1.452440048670397,0,0,0,-2.5893033443275346,,,,0,0.0,0.0003062440241626541,0.0061791577716916795,0.0017351274870497449,6.852010000000001,2.4104354545454547,4.917523952588075,0.00029799844349932066,42.65615039631717,,,,,,,,,,,,
